,player_id,name,current_club_id,date_of_birth,position,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,last_season,year_of_birth,age,year,total_goals,total_yellow_cards,total_red_cards,total_minutes_played,total_assists,total_games_played,performance_career,total_goals_cur_club,total_yellow_cards_cur_club,total_red_cards_cur_club,total_minutes_played_cur_club,total_assists_cur_club,total_goals_2022,total_yellow_cards_2022,total_red_cards_2022,total_minutes_played_2022,total_assists_2022,games_played_2022,performance_2022,total_goals_2020,total_yellow_cards_2020,total_red_cards_2020,total_minutes_played_2020,total_assists_2020,games_played_2020,performance_2020,improved_performance,raw_performance_score,normalised_performance_score
713,397033,Sandro Tonali,5,2000-05-08,Midfield,50000000.0,50000000.0,2027-06-30,2022,2000,22,5,8,32,1,10756,17,147,1098.1170068027213,4,12,0,3185,6,6,18,1,5656,8,81,580.7327160493827,2,6,1,2471,2,42,256.93333333333334,1,1677.2045471724043,24.330482500468147
714,130365,Alessandro Florenzi,5,1991-03-11,Defender,2500000.0,30000000.0,2025-06-30,2022,1991,31,9,22,35,1,19279,20,276,1956.5351449275363,1,1,0,771,0,2,2,0,2650,1,47,275.0382978723404,1,1,0,1879,1,31,196.96129032258065,1,1587.931470885182,23.03543651217108
715,259953,Rade Krunic,5,1993-10-07,Midfield,9000000.0,9000000.0,2025-06-30,2022,1993,29,9,11,36,1,10967,13,192,1120.9619791666667,1,6,0,1512,1,2,7,0,3305,5,67,342.63283582089554,1,1,0,1793,4,36,188.88055555555556,1,1263.4659712840253,18.32855554564809
716,262523,Davide Calabria,5,1996-12-06,Defender,25000000.0,25000000.0,2025-06-30,2022,1996,26,9,8,37,1,15379,16,202,1558.1633663366338,0,3,0,2121,4,3,9,0,4876,7,63,500.2396825396826,3,6,0,2755,3,35,285.82142857142856,1,1815.4357124723463,26.335742356232082
717,361104,Sergiño Dest,5,2000-11-03,Defender,16000000.0,30000000.0,2023-06-30,2022,2000,22,5,5,7,0,8140,9,124,832.3645161290323,0,0,0,375,0,2,3,0,3926,3,64,404.78437499999995,2,1,0,2710,3,40,281.92499999999995,1,1305.3974569281525,18.93683751066127
718,182618,Tiemoué Bakayoko,5,1994-08-17,Midfield,4000000.0,40000000.0,2023-06-30,2022,1994,28,10,11,45,2,17020,9,245,1730.2969387755102,0,0,0,274,0,2,7,0,2210,1,47,229.90212765957446,2,7,0,1936,1,42,201.90952380952382,1,1412.089756115212,20.4845766475971
719,48859,Simon Kjaer,5,1989-03-26,Defender,5000000.0,13000000.0,2024-06-30,2022,1989,33,10,11,46,1,22221,4,267,2246.272471910112,0,2,0,623,0,1,8,0,3502,2,45,360.7322222222223,1,6,0,2879,2,36,298.24722222222226,1,1962.6333066621269,28.471074326076383
720,521964,Malick Thiaw,5,2001-08-08,Defender,6000000.0,6000000.0,2027-06-30,2022,2001,21,4,1,9,0,2386,0,37,246.54864864864868,0,0,0,124,0,0,7,0,1408,0,21,147.85476190476192,0,5,0,1014,0,14,108.79285714285716,1,453.94456241956243,6.58517784891059
721,323167,Matteo Gabbia,5,1999-10-21,Defender,7000000.0,9000000.0,2026-06-30,2022,1999,23,5,1,9,0,3301,0,50,339.502,1,3,0,1089,0,1,4,0,1382,0,22,145.7318181818182,0,1,0,293,0,5,35.410000000000004,1,423.86742292490123,6.148861767265856
722,585949,Pierre Kalulu,5,2000-06-05,Defender,35000000.0,35000000.0,2027-06-30,2022,2000,22,4,3,9,0,6154,3,87,629.373563218391,1,4,0,3379,1,1,7,0,4754,3,71,487.7957746478874,0,3,0,1375,2,29,144.59137931034482,1,1191.0627319822806,17.278233001639855
723,339808,Theo Hernández,5,1997-10-06,Defender,60000000.0,60000000.0,2026-06-30,2022,1997,25,8,25,61,2,19342,33,230,1954.3095652173913,5,8,1,3483,8,11,20,1,7222,17,84,736.1476190476192,6,12,0,3739,9,45,384.9088888888889,1,2466.4451000690133,35.7796545727025
724,435772,Charles De Ketelaere,5,2001-03-10,Attack,30000000.0,30000000.0,2027-06-30,2022,2001,21,5,20,9,0,7900,16,125,818.37,0,3,0,798,1,16,8,0,5182,12,73,539.9986301369863,11,4,0,3467,10,43,364.6627906976745,1,1583.9647835222017,22.977893490580463
